image,classe,confiance,x1,y1,x2,y2
ANFR_2755704.jpg,antenne,0.114,748.7,154.4,896.8,342.9
ANFR_2817293.jpg,antenne,0.114,286.4,764.9,438.0,941.2
ANFR_1007156.jpg,antenne,0.113,468.7,284.4,620.5,468.0
ANFR_1212322.jpg,antenne,0.113,642.0,352.4,798.7,541.1
ANFR_1511237.jpg,antenne,0.113,419.4,757.0,572.0,930.2
ANFR_1568341.jpg,antenne,0.113,82.7,77.4,234.6,261.4
ANFR_2684361.jpg,antenne,0.113,675.4,70.1,828.3,255.2
ANFR_2755704.jpg,antenne,0.113,752.4,212.2,900.7,388.7
ANFR_2755704.jpg,antenne,0.113,694.2,382.3,850.4,571.4
ANFR_2957112.jpg,antenne,0.113,769.3,411.3,915.5,590.6
ANFR_3080386.jpg,antenne,0.113,775.8,764.0,930.2,938.9
ANFR_3097731.jpg,antenne,0.113,82.0,75.9,236.4,261.1
ANFR_508958.jpg,antenne,0.113,337.4,352.2,494.9,536.3
ANFR_650117.jpg,antenne,0.113,595.0,743.8,746.7,923.4
ANFR_1010485.jpg,antenne,0.112,623.4,694.1,754.0,847.6
ANFR_1212322.jpg,antenne,0.112,105.6,507.1,262.7,695.5
ANFR_1279490.jpg,antenne,0.112,439.9,429.6,597.5,618.8
ANFR_1511237.jpg,antenne,0.112,77.5,358.3,229.8,545.6
ANFR_1513339.jpg,antenne,0.112,83.5,83.7,233.5,259.8
ANFR_1681423.jpg,antenne,0.112,417.7,417.2,568.9,596.0
ANFR_1792887.jpg,antenne,0.112,80.7,76.8,235.0,261.9
ANFR_2385920.jpg,antenne,0.112,80.6,82.7,232.5,264.8
ANFR_2543945.jpg,antenne,0.112,81.3,76.2,235.7,261.7
ANFR_2659994.jpg,antenne,0.112,775.9,363.3,928.8,546.6
ANFR_2684361.jpg,antenne,0.112,112.3,492.4,261.4,671.0
ANFR_2755704.jpg,antenne,0.112,75.7,60.4,219.6,232.2
ANFR_2876424.jpg,antenne,0.112,76.1,127.0,229.5,313.1
ANFR_2989296.jpg,antenne,0.112,638.6,87.9,783.2,260.6
ANFR_3062801.jpg,antenne,0.112,79.6,78.4,233.1,262.5
ANFR_450535.jpg,antenne,0.112,82.4,84.3,231.9,263.4
ANFR_462036.jpg,antenne,0.112,261.4,531.4,403.7,729.1
ANFR_462036.jpg,antenne,0.112,308.5,183.1,454.7,364.4
ANFR_816571.jpg,antenne,0.112,768.2,571.6,917.1,753.9
ANFR_851972.jpg,antenne,0.112,80.3,82.2,231.3,261.5
ANFR_1279490.jpg,antenne,0.111,772.9,616.6,929.2,804.6
ANFR_1456691.jpg,antenne,0.111,791.7,723.5,941.2,900.3
ANFR_1456691.jpg,antenne,0.111,790.7,614.8,942.5,794.5
ANFR_1511237.jpg,antenne,0.111,77.1,315.2,228.3,500.0
ANFR_1511237.jpg,antenne,0.111,455.6,332.1,603.7,510.3
ANFR_1513339.jpg,antenne,0.111,84.1,252.1,236.0,436.3
ANFR_1584204.jpg,antenne,0.111,104.4,207.6,261.0,395.3
ANFR_1597175.jpg,antenne,0.111,337.6,588.9,494.9,780.7
ANFR_1597175.jpg,antenne,0.111,149.8,443.7,303.6,618.0
ANFR_1597519.jpg,antenne,0.111,82.7,79.9,234.6,264.1
ANFR_1737051.jpg,antenne,0.111,434.0,762.6,592.9,941.1
ANFR_1950123.jpg,antenne,0.111,483.0,305.9,634.4,490.0
ANFR_1950494.jpg,antenne,0.111,441.0,493.6,589.0,672.1
ANFR_2049015.jpg,antenne,0.111,83.1,75.8,235.2,261.6
ANFR_2311941.jpg,antenne,0.111,105.4,458.8,261.7,642.5
ANFR_2311941.jpg,antenne,0.111,131.9,757.3,272.2,920.1
ANFR_2311941.jpg,antenne,0.111,764.3,473.5,910.6,648.7
ANFR_2368665.jpg,antenne,0.111,408.7,459.3,566.8,648.0
ANFR_2479993.jpg,antenne,0.111,80.1,78.3,233.0,262.4
ANFR_2516570.jpg,antenne,0.111,100.9,543.9,257.7,730.1
ANFR_2636551.jpg,antenne,0.111,76.8,747.8,230.3,931.3
ANFR_2659994.jpg,antenne,0.111,766.5,404.9,926.7,598.0
ANFR_2684361.jpg,antenne,0.111,769.1,722.1,924.5,903.2
ANFR_2684361.jpg,antenne,0.111,102.7,741.0,257.7,924.1
ANFR_2684361.jpg,antenne,0.111,789.3,741.8,930.7,918.7
ANFR_2690727.jpg,antenne,0.111,513.1,500.8,657.8,668.5
ANFR_2690727.jpg,antenne,0.111,83.9,78.6,235.7,262.3
ANFR_2713171.jpg,antenne,0.111,99.9,80.1,260.5,259.4
ANFR_2755704.jpg,antenne,0.111,696.6,344.3,845.8,524.0
ANFR_2755704.jpg,antenne,0.111,382.3,332.5,518.9,489.5
ANFR_2817293.jpg,antenne,0.111,285.7,737.0,424.9,908.1
ANFR_2828017.jpg,antenne,0.111,83.3,73.6,236.8,260.3
ANFR_2876424.jpg,antenne,0.111,328.7,80.2,486.2,267.9
ANFR_2885698.jpg,antenne,0.111,103.6,502.5,257.4,692.1
ANFR_3080386.jpg,antenne,0.111,84.1,81.2,235.1,262.9
ANFR_3091650.jpg,antenne,0.111,384.3,464.7,534.3,639.7
ANFR_3120599.jpg,antenne,0.111,98.8,768.6,250.9,946.1
ANFR_3143567.jpg,antenne,0.111,81.7,75.2,235.5,261.2
ANFR_3161562.jpg,antenne,0.111,80.5,77.5,234.8,262.4
ANFR_437488.jpg,antenne,0.111,105.4,80.7,263.1,262.9
ANFR_450535.jpg,antenne,0.111,438.9,317.2,590.8,497.7
ANFR_462036.jpg,antenne,0.111,204.7,374.0,348.6,543.2
ANFR_462036.jpg,antenne,0.111,255.1,501.0,406.6,689.7
ANFR_472746.jpg,antenne,0.111,113.2,747.4,262.5,921.2
ANFR_587183.jpg,antenne,0.111,411.8,443.8,564.1,620.4
ANFR_605710.jpg,antenne,0.111,261.9,386.0,413.9,569.9
ANFR_650117.jpg,antenne,0.111,773.3,67.9,931.4,255.0
ANFR_683244.jpg,antenne,0.111,76.4,746.9,230.6,931.1
ANFR_771841.jpg,antenne,0.111,126.6,90.1,281.7,264.4
ANFR_1212322.jpg,antenne,0.11,640.6,417.9,788.7,604.8
ANFR_1456691.jpg,antenne,0.11,459.2,393.6,608.0,576.4
ANFR_1513339.jpg,antenne,0.11,99.2,638.1,259.1,824.3
ANFR_1513339.jpg,antenne,0.11,532.3,79.8,690.2,265.1
ANFR_1568371.jpg,antenne,0.11,135.2,515.5,289.0,694.7
ANFR_1584204.jpg,antenne,0.11,97.2,81.2,253.8,266.4
ANFR_1584204.jpg,antenne,0.11,100.2,257.0,252.9,447.7
ANFR_1584204.jpg,antenne,0.11,362.7,523.7,508.6,703.5
ANFR_1596728.jpg,antenne,0.11,448.8,412.1,597.6,586.7
ANFR_1597175.jpg,antenne,0.11,421.1,434.8,572.5,621.6
ANFR_1597175.jpg,antenne,0.11,103.8,603.4,261.2,792.7
ANFR_1669326.jpg,antenne,0.11,483.7,232.6,640.0,412.8
ANFR_1679737.jpg,antenne,0.11,78.2,747.3,231.9,931.0
ANFR_1710227.jpg,antenne,0.11,359.0,493.6,514.8,673.9
ANFR_1831346.jpg,antenne,0.11,302.5,640.0,457.8,819.5
ANFR_1831346.jpg,antenne,0.11,97.4,74.8,256.8,263.0
ANFR_1950494.jpg,antenne,0.11,81.3,79.6,234.2,263.8
ANFR_2079587.jpg,antenne,0.11,405.0,405.5,564.3,584.6
ANFR_2368665.jpg,antenne,0.11,277.6,757.0,416.2,925.8
ANFR_2554661.jpg,antenne,0.11,430.3,355.9,576.9,539.1
ANFR_2640050.jpg,antenne,0.11,82.8,750.6,234.3,930.7
ANFR_2640050.jpg,antenne,0.11,369.9,390.2,521.2,575.6
ANFR_2650209.jpg,antenne,0.11,252.1,90.2,408.8,264.7
ANFR_2654106.jpg,antenne,0.11,432.9,392.5,581.9,565.5
ANFR_2690727.jpg,antenne,0.11,567.1,614.8,721.6,796.1
ANFR_2697178.jpg,antenne,0.11,432.2,397.0,586.0,572.1
ANFR_2701364.jpg,antenne,0.11,91.2,91.3,239.8,263.2
ANFR_2734984.jpg,antenne,0.11,86.1,66.2,230.5,237.1
ANFR_2828017.jpg,antenne,0.11,763.6,316.6,918.0,500.6
ANFR_2876424.jpg,antenne,0.11,762.4,440.2,917.0,628.6
ANFR_2880306.jpg,antenne,0.11,382.0,531.7,522.6,698.1
ANFR_2917087.jpg,antenne,0.11,97.2,73.5,255.5,258.4
ANFR_2957112.jpg,antenne,0.11,510.8,363.9,665.8,544.5
ANFR_2957112.jpg,antenne,0.11,769.6,376.9,910.4,552.5
ANFR_3041144.jpg,antenne,0.11,610.7,248.7,773.3,444.9
ANFR_3041144.jpg,antenne,0.11,610.4,233.0,751.3,393.4
ANFR_3062801.jpg,antenne,0.11,428.8,102.7,583.2,281.9
ANFR_3080386.jpg,antenne,0.11,98.3,98.0,257.8,287.9
ANFR_3091650.jpg,antenne,0.11,154.5,483.3,302.4,644.7
ANFR_3118421.jpg,antenne,0.11,506.3,665.4,662.7,844.9
ANFR_3244662.jpg,antenne,0.11,97.8,235.1,256.1,425.4
ANFR_435641.jpg,antenne,0.11,612.9,510.4,773.0,701.6
ANFR_462036.jpg,antenne,0.11,246.2,463.2,392.8,646.9
ANFR_462036.jpg,antenne,0.11,73.8,273.7,223.3,451.4
ANFR_462036.jpg,antenne,0.11,216.0,702.3,365.5,882.7
ANFR_601450.jpg,antenne,0.11,484.2,326.3,643.2,515.5
ANFR_601450.jpg,antenne,0.11,96.6,495.4,247.9,671.8
ANFR_650117.jpg,antenne,0.11,589.9,689.7,738.3,884.0
ANFR_814908.jpg,antenne,0.11,455.7,438.0,603.1,620.5
ANFR_814908.jpg,antenne,0.11,613.7,202.6,776.7,390.2
ANFR_1007156.jpg,antenne,0.109,459.6,360.9,610.0,550.6
ANFR_1007156.jpg,antenne,0.109,464.1,328.8,619.9,524.8
ANFR_1212322.jpg,antenne,0.109,129.9,456.9,268.4,632.3
ANFR_1212322.jpg,antenne,0.109,633.8,463.1,791.3,653.0
ANFR_1212322.jpg,antenne,0.109,647.5,339.5,784.9,498.7
ANFR_1279490.jpg,antenne,0.109,794.9,582.3,940.0,757.2
ANFR_1511237.jpg,antenne,0.109,540.1,771.7,693.6,945.9
ANFR_1513339.jpg,antenne,0.109,325.9,769.1,476.8,944.0
ANFR_1513339.jpg,antenne,0.109,761.3,431.5,926.0,618.2
ANFR_1597175.jpg,antenne,0.109,434.6,382.4,571.7,554.2
ANFR_1597175.jpg,antenne,0.109,277.9,738.5,440.2,924.4
ANFR_1597175.jpg,antenne,0.109,310.6,658.7,459.9,837.1
ANFR_1597175.jpg,antenne,0.109,102.5,728.7,254.4,905.6
ANFR_1597175.jpg,antenne,0.109,226.2,235.0,382.8,414.2
ANFR_1597175.jpg,antenne,0.109,760.6,720.9,913.7,908.0
ANFR_1597175.jpg,antenne,0.109,480.9,678.3,625.7,860.2
ANFR_1597519.jpg,antenne,0.109,96.7,98.3,256.6,290.7
ANFR_1681423.jpg,antenne,0.109,764.0,127.4,925.5,317.4
ANFR_1710227.jpg,antenne,0.109,81.8,746.3,233.7,928.8
ANFR_1710227.jpg,antenne,0.109,78.9,79.8,233.8,264.2
ANFR_1831346.jpg,antenne,0.109,85.3,67.6,232.0,238.6
ANFR_1851458.jpg,antenne,0.109,274.8,217.5,420.1,388.9
ANFR_1950123.jpg,antenne,0.109,74.1,87.0,227.8,269.5
ANFR_1950494.jpg,antenne,0.109,97.7,748.3,255.2,928.7
ANFR_2263010.jpg,antenne,0.109,460.1,407.1,599.8,567.2
ANFR_2516570.jpg,antenne,0.109,98.6,589.3,259.1,782.6
ANFR_2543945.jpg,antenne,0.109,304.3,192.1,452.6,362.9
ANFR_2543945.jpg,antenne,0.109,404.7,160.2,565.7,339.4
ANFR_2554661.jpg,antenne,0.109,436.9,314.1,580.8,499.8
ANFR_2640050.jpg,antenne,0.109,762.1,203.3,920.7,393.1
ANFR_2640050.jpg,antenne,0.109,353.9,430.2,511.8,620.8
ANFR_2640050.jpg,antenne,0.109,99.4,284.4,253.5,468.8
ANFR_2654106.jpg,antenne,0.109,761.8,96.4,923.4,288.8
ANFR_2659994.jpg,antenne,0.109,789.5,493.0,942.9,677.4
ANFR_2662883.jpg,antenne,0.109,97.3,83.9,252.9,263.2
ANFR_2690727.jpg,antenne,0.109,98.0,95.8,258.9,288.0
ANFR_2690727.jpg,antenne,0.109,96.9,754.3,250.9,929.0
ANFR_2697178.jpg,antenne,0.109,86.9,751.9,232.9,928.3
ANFR_2734984.jpg,antenne,0.109,408.6,358.8,570.9,543.3
ANFR_2734984.jpg,antenne,0.109,96.1,73.7,252.5,262.6
ANFR_2817293.jpg,antenne,0.109,763.2,101.8,929.5,292.2
ANFR_2817293.jpg,antenne,0.109,761.6,211.8,912.1,397.0
ANFR_2989296.jpg,antenne,0.109,79.0,516.1,232.9,703.6
ANFR_2989296.jpg,antenne,0.109,513.4,150.9,665.7,336.0
ANFR_2989296.jpg,antenne,0.109,95.5,541.8,255.7,730.2
ANFR_3039108.jpg,antenne,0.109,302.3,735.7,462.1,905.0
ANFR_3039108.jpg,antenne,0.109,80.0,81.5,233.5,265.5
ANFR_3080386.jpg,antenne,0.109,785.5,745.2,924.1,909.1
ANFR_3080386.jpg,antenne,0.109,762.6,599.8,918.0,778.2
ANFR_3080386.jpg,antenne,0.109,443.6,377.7,591.1,545.8
ANFR_3091650.jpg,antenne,0.109,762.2,81.8,923.9,267.3
ANFR_3097902.jpg,antenne,0.109,74.0,463.0,229.5,651.2
ANFR_3118421.jpg,antenne,0.109,542.0,458.2,687.3,620.0
ANFR_3118421.jpg,antenne,0.109,80.6,82.7,233.0,266.1
ANFR_3182931.jpg,antenne,0.109,78.4,79.6,233.4,264.6
ANFR_3244662.jpg,antenne,0.109,99.2,186.2,255.7,373.6
ANFR_435641.jpg,antenne,0.109,633.3,443.9,776.4,631.4
ANFR_435641.jpg,antenne,0.109,762.2,214.7,921.5,402.6
ANFR_437488.jpg,antenne,0.109,431.9,372.9,583.7,545.5
ANFR_450535.jpg,antenne,0.109,96.2,100.6,253.0,288.2
ANFR_462036.jpg,antenne,0.109,90.3,485.5,221.8,651.1
ANFR_462036.jpg,antenne,0.109,81.8,551.4,235.7,737.3
