id,sup_id,lat_anfr,lon_anfr,pixel_x,pixel_y,image_width,image_height,extent_m,pixel_size_m,crs_mode,convergence_deg,lat_corr,lon_corr,offset_mesure_m,offset_anfr_m,verdict,annote_par,box_px,image_path
418,474862,50.192773,2.154295,522.0,506.0,1024,1024,70.042,0.0684,Résolution mesurée,0.0,50.1927767,2.1543046,0.8,10.71,ok,Omar,,data2/images/val/ANFR_474862.jpg
507,698408,50.043564,2.282524,514.0,478.0,1024,1024,70.042,0.0684,Résolution mesurée,0.0,50.0435849,2.2825259,2.33,5.5,ok,Omar,,data2/images/val/ANFR_698408.jpg
487,633319,49.789514,2.802118,546.0,538.0,1024,1024,70.042,0.0684,Résolution mesurée,0.0,49.789498,2.8021503,2.93,1.64,ok,Omar,,data2/images/val/ANFR_633319.jpg
287,2706342,49.736096,2.518088,762.0,558.0,1024,1024,70.042,0.0684,Résolution mesurée,0.0,49.7360677,2.5183252,17.39,15.14,ok,Omar,,data2/images/val/ANFR_2706342.jpg
338,3008439,49.737833,2.783573,546.0,378.0,1024,1024,70.042,0.0684,Résolution mesurée,0.0,49.7379154,2.7836053,9.46,6.69,ok,Omar,,data2/images/val/ANFR_3008439.jpg
27,1499221,49.851541,2.659665,494.0,522.0,1024,1024,70.042,0.0684,Résolution mesurée,0.0,49.8515349,2.6596479,1.41,0.55,ok,Omar,,data2/images/val/ANFR_1499221.jpg
234,2518808,49.761286,2.816003,570.0,434.0,1024,1024,70.042,0.0684,Résolution mesurée,0.0,49.761334,2.8160581,6.65,0.41,ok,Omar,,data2/images/val/ANFR_2518808.jpg
221,2492434,49.932611,2.546485,522.0,446.0,1024,1024,70.042,0.0684,Résolution mesurée,0.0,49.9326516,2.5464945,4.57,14.12,ok,Omar,,data2/images/val/ANFR_2492434.jpg
179,2254864,49.931567,2.690187,514.0,502.0,1024,1024,70.042,0.0684,Résolution mesurée,0.0,49.9315731,2.6901889,0.7,1.89,ok,Omar,,data2/images/val/ANFR_2254864.jpg
329,2986195,49.712269,2.389719,474.0,510.0,1024,1024,70.042,0.0684,Résolution mesurée,0.0,49.7122702,2.389683,2.6,5.23,ok,Omar,,data2/images/val/ANFR_2986195.jpg
10,1208443,50.021792,1.535623,506.0,510.0,1024,1024,70.042,0.0684,Résolution mesurée,0.0,50.0217932,1.5356173,0.43,3.08,ok,Omar,,data2/images/val/ANFR_1208443.jpg
427,485901,49.993273,1.556816,514.0,438.0,1024,1024,70.042,0.0684,Résolution mesurée,0.0,49.9933185,1.5568179,5.06,0.67,ok,Omar,,data2/images/val/ANFR_485901.jpg
247,2555413,49.990234,1.60732,518.0,382.0,1024,1024,70.042,0.0684,Résolution mesurée,0.0,49.9903139,1.6073257,8.9,8.57,ok,Omar,,data2/images/val/ANFR_2555413.jpg
236,2525490,49.913668,1.7408,550.0,438.0,1024,1024,70.042,0.0684,Résolution mesurée,0.0,49.9137135,1.7408362,5.69,0.51,ok,Omar,,data2/images/val/ANFR_2525490.jpg
539,817140,49.909243,1.867939,574.0,486.0,1024,1024,70.042,0.0684,Résolution mesurée,0.0,49.909259,1.867998,4.6,0.72,ok,Omar,,data2/images/val/ANFR_817140.jpg
135,1916165,49.876987,1.96547,490.0,510.0,1024,1024,70.042,0.0684,Résolution mesurée,0.0,49.8769882,1.9654491,1.51,0.33,ok,Omar,,data2/images/val/ANFR_1916165.jpg
431,492995,49.866509,2.264761,486.0,490.0,1024,1024,70.042,0.0684,Résolution mesurée,0.0,49.8665225,2.2647363,2.33,1.01,ok,Omar,,data2/images/val/ANFR_492995.jpg
146,2004878,49.888631,2.946476,530.0,530.0,1024,1024,70.042,0.0684,Résolution mesurée,0.0,49.8886199,2.9464931,1.74,12.39,ok,Omar,,data2/images/val/ANFR_2004878.jpg
83,1640108,49.652283,2.617677,450.0,550.0,1024,1024,70.042,0.0684,Résolution mesurée,0.0,49.6522596,2.6176183,4.97,9.92,ok,Omar,,data2/images/val/ANFR_1640108.jpg
242,2534481,50.206524,2.455897,538.0,538.0,1024,1024,70.042,0.0684,Résolution mesurée,0.0,50.206508,2.4559219,2.52,1.8,ok,Omar,,data2/images/val/ANFR_2534481.jpg
282,2689988,50.207345,2.337904,542.0,546.0,1024,1024,70.042,0.0684,Résolution mesurée,0.0,50.2073241,2.3379327,3.1,16.38,ok,Omar,,data2/images/val/ANFR_2689988.jpg
220,2488373,50.027825,1.927893,550.0,538.0,1024,1024,70.042,0.0684,Résolution mesurée,0.0,50.027809,1.9279293,3.15,1.96,ok,Omar,,data2/images/val/ANFR_2488373.jpg
258,2620257,49.863663,2.14955,498.0,494.0,1024,1024,70.042,0.0684,Résolution mesurée,0.0,49.8636741,2.1495367,1.56,1.33,ok,Omar,,data2/images/val/ANFR_2620257.jpg
