id,sup_id,lat,lon,height_m,offset_m,split,class_id,class_name,xc,yc,w,h,r_iso_m,shadow_m,box_w_m,box_h_m,group,image,source
3,105408,50.180504,1.495859,10.39,13.298867751107997,train,0.0,site_radio,0.496355,0.489986,0.201019,0.213758,19.84,4.37,41.17,43.78,0.0,ANFR_105408.jpg,annotation_faible
4,105438,49.892376,2.009789,27.32,0.5141234501111818,train,0.0,site_radio,0.490416,0.473668,0.116611,0.150107,9.98,11.48,23.88,30.74,1.0,ANFR_105438.jpg,annotation_faible
5,105442,50.241285,1.743383,3.0700000000000003,7.527339577953045,train,0.0,site_radio,0.498923,0.497041,0.132372,0.136136,13.33,1.29,27.11,27.88,2.0,ANFR_105442.jpg,annotation_faible
6,105470,49.784987,2.156424,7.1200000000000045,34.27975905297138,train,0.0,site_radio,0.497502,0.493137,0.400423,0.409152,40.49,2.99,82.01,83.79,3.0,ANFR_105470.jpg,annotation_faible
7,1185884,49.864765,2.227125,25.32999999999999,29.207601305832693,train,0.0,site_radio,0.491114,0.475586,0.391538,0.422594,38.27,10.64,80.19,86.55,4.0,ANFR_1185884.jpg,annotation_faible
8,1193708,49.901646,2.335078,5.860000000000007,13.564632131030065,train,0.0,site_radio,0.497944,0.494352,0.196012,0.203197,19.65,2.46,40.14,41.61,5.0,ANFR_1193708.jpg,annotation_faible
9,1208432,49.741647,2.702204,25.52,2.55757474075427,train,0.0,site_radio,0.491047,0.475403,0.131788,0.163077,11.66,10.72,26.99,33.4,6.0,ANFR_1208432.jpg,annotation_faible
10,1208443,50.021792,1.535623,30.049999999999983,3.082357664578588,train,0.0,site_radio,0.489458,0.471037,0.148939,0.185782,13.09,12.62,30.5,38.05,7.0,ANFR_1208443.jpg,annotation_faible
13,1282638,50.115942,1.891877,30.03,0.2254492693714528,train,0.0,site_radio,0.489465,0.471056,0.120986,0.157805,10.23,12.62,24.78,32.32,8.0,ANFR_1282638.jpg,annotation_faible
14,1289160,49.892484,2.299415,15.950000000000005,2.752123473997792,train,0.0,site_radio,0.494405,0.484627,0.108282,0.127837,9.94,6.7,22.18,26.18,9.0,ANFR_1289160.jpg,annotation_faible
15,1402312,49.887022,2.328393,30.28,1.1123957659245776,train,0.0,site_radio,0.489378,0.470815,0.130311,0.167436,11.17,12.72,26.69,34.29,88.0,ANFR_1402312.jpg,annotation_faible
16,1411548,49.87528,2.208842,40.010000000000005,1.3924908998081698,val,0.0,site_radio,0.485964,0.461437,0.158877,0.207932,13.39,16.81,32.54,42.58,11.0,ANFR_1411548.jpg,annotation_faible
