id,sup_id,detecte,confiance,erreur_m,cote_predit_m,n_boites,lat_pred,lon_pred,lat_humain,lon_humain,image
418,474862,True,0.16,2.9,46.7,4,50.1927611,2.1542725,50.1927767,2.1543046,ANFR_474862.jpg
507,698408,True,0.157,9.5,48.9,5,50.0435013,2.2824974,50.0435849,2.2825259,ANFR_698408.jpg
487,633319,True,0.163,7.5,54.0,6,49.7894536,2.8022293,49.789498,2.8021503,ANFR_633319.jpg
287,2706342,True,0.157,10.0,44.0,2,49.7361156,2.5182082,49.7360677,2.5183252,ANFR_2706342.jpg
338,3008439,True,0.182,8.5,28.0,4,49.7378437,2.7835626,49.7379154,2.7836053,ANFR_3008439.jpg
27,1499221,True,0.155,1.8,45.7,4,49.8515209,2.6596347,49.8515349,2.6596479,ANFR_1499221.jpg
234,2518808,True,0.145,12.7,51.0,5,49.761231,2.8161352,49.761334,2.8160581,ANFR_2518808.jpg
221,2492434,True,0.156,4.7,27.8,5,49.932611,2.5464762,49.9326516,2.5464945,ANFR_2492434.jpg
179,2254864,True,0.15,2.1,37.9,2,49.9315687,2.6902175,49.9315731,2.6901889,ANFR_2254864.jpg
329,2986195,True,0.148,5.2,52.1,3,49.7123021,2.3897365,49.7122702,2.389683,ANFR_2986195.jpg
10,1208443,True,0.155,5.4,54.4,4,50.0218317,1.5356632,50.0217932,1.5356173,ANFR_1208443.jpg
427,485901,True,0.155,11.8,45.6,6,49.9932139,1.5567878,49.9933185,1.5568179,ANFR_485901.jpg
247,2555413,True,0.15,7.4,50.2,3,49.9902477,1.6073329,49.9903139,1.6073257,ANFR_2555413.jpg
236,2525490,True,0.149,9.7,49.2,5,49.9136464,1.7407489,49.9137135,1.7408362,ANFR_2525490.jpg
539,817140,True,0.168,3.3,28.1,3,49.9092391,1.8679638,49.909259,1.867998,ANFR_817140.jpg
135,1916165,True,0.151,2.0,43.1,4,49.8770026,1.9654658,49.8769882,1.9654491,ANFR_1916165.jpg
431,492995,True,0.147,2.6,44.5,5,49.8665125,2.2647683,49.8665225,2.2647363,ANFR_492995.jpg
146,2004878,True,0.152,2.4,49.9,2,49.8886409,2.9465008,49.8886199,2.9464931,ANFR_2004878.jpg
83,1640108,True,0.149,3.4,47.1,4,49.6522702,2.6176631,49.6522596,2.6176183,ANFR_1640108.jpg
242,2534481,True,0.148,3.2,39.9,4,50.2065343,2.4559045,50.206508,2.4559219,ANFR_2534481.jpg
282,2689988,True,0.148,2.6,38.6,3,50.2073449,2.3379171,50.2073241,2.3379327,ANFR_2689988.jpg
220,2488373,True,0.191,1.8,24.8,6,50.0278109,1.9279042,50.027809,1.9279293,ANFR_2488373.jpg
258,2620257,True,0.162,2.6,25.5,4,49.8636525,2.1495216,49.8636741,2.1495367,ANFR_2620257.jpg
